Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
202224338;13/10/2022;;SEM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;CAIS DO APOLO;;PTE CONDE MAURICIO DE NASSAU;SANTO ANTÔNIO;;;TOMBAMENTO;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;
202224339;13/10/2022;;SEM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;PRC DA REPUBLICA;;;SANTO ANTÔNIO;;CIDADE;;0;1;0;0;0;0;0;0;0;0;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;;;
202224359;13/10/2022;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;;BOA VIAGEM;;SUBURBIO;ATROPELAMENTO DE PESSOA;1;0;0;0;1;0;0;0;0;1;0;Longo da via;Bom;Com defeito;Perfeito estado;Seca;Perfeito estado;Agente;Não há placas;;Única;Faixa seccionada;;
202224362;13/10/2022;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;AV NORTE MIGUEL ARRAES DE ALENCAR;2215;RUA ALFREDO DE CASTRO;ESPINHEIRO;665;CIDADE;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;40 km/h;Única;Não existe;;
202224371;13/10/2022;;SEM VÍTIMA;FINALIZADA;CASA FORTE;EST DAS UBAIAS;;EST DO ENCANAMENTO;CASA FORTE;;;COLISÃO TRASEIRA;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202224374;13/10/2022;;COM VÍTIMA;FINALIZADA;JARDIM SÃO PAULO;AV RECIFE;;;JARDIM SÃO PAULO;259;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;2;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;Canteiro central;;
202224376;14/10/2022;;SEM VÍTIMA;FINALIZADA;JORDÃO;RUA DR ALVARO FERRAZ;71;;JORDÃO;;;CAPOTAMENTO;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202224430;14/10/2022;;SEM VÍTIMA;CANCELADA;BOA VIAGEM;RUA PADRE CARAPUCEIRO;;;BOA VIAGEM;;;COLISÃO TRASEIRA;0;0;0;0;0;0;1;1;0;0;0;;;;;;;;;;;;;
202224436;14/10/2022;;COM VÍTIMA;FINALIZADA;GRAÇAS;AV GOVERNADOR AGAMENON MAGALHAES;;RUA DR BANDEIRA FILHO;GRAÇAS;;SUBURBIO / BOA VIAGEM;ATROPELAMENTO DE PESSOA;0;1;0;0;1;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;Não há placas;60 km/h;Dupla;Canal;;
202224451;14/10/2022;;COM VÍTIMA;FINALIZADA;BOA VISTA;AV CONDE DA BOA VISTA;;RUA DOM BOSCO;BOA VISTA;27;SUBURBIO;COLISÃO COM CICLISTA;0;0;0;1;0;1;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Canteiro central;;
